URL,Title,Description,Keyword(s),Deprecation Status,Published Date,Updated Date
"https://www.linode.com/docs/guides/how-to-access-postgresql-database-remotely-using-pgadmin-on-windows","Access PostgreSQL Database Remotely Using pgAdmin on Windows","Use the open-source pgAdmin program to securely manage remote PostgreSQL databases from a Windows workstation.","pgadmin, pgadmin windows, postgresql gui, postgresql windows, manage postgresql databases, ssh tunnel","false","2010-04-28","2016-05-12"
"https://www.linode.com/docs/guides/fedora-13","Use PostgreSQL Relational Databases on Fedora 13","Using the PostgreSQL relational database server with Fedora 13.","","true","2010-05-28","2011-04-29"
"https://www.linode.com/docs/guides/use-postgresql-relational-databases-on-ubuntu-12-04","Use PostgreSQL Relational Databases on Ubuntu 12.04","Using the PostgreSQL relational database server with Ubuntu 12.04 LTS (Precise Pangolin).","","true","2012-10-08",""
"https://www.linode.com/docs/guides/create-a-highly-available-postgresql-cluster-using-patroni-and-haproxy","Create a Highly Available PostgreSQL Cluster Using Patroni and HAProxy","This guide shows you how to set up a highly available PostgreSQL cluster using Patroni and HA Proxy on your Linode.","postgresql, clusters, databases","false","2017-09-19","2021-10-18"
"https://www.linode.com/docs/guides/ubuntu-9-04-jaunty","Use PostgreSQL Relational Databases on Ubuntu 9.04 (Jaunty)","Using the PostgreSQL relational database server with Ubuntu 9.04 (Jaunty).","","true","2009-09-13","2011-04-29"
"https://www.linode.com/docs/guides/ubuntu-10-10-maverick","Use PostgreSQL Relational Databases on Ubuntu 10.10","Using the PostgreSQL relational database server with Ubuntu 10.10 (Maverick).","","true","2010-10-25","2012-10-03"
"https://www.linode.com/docs/guides/an-introduction-to-postgresql","What is PostgreSQL?","This guide introduces the PostgreSQL database, outlining how it is different from other SQL databases like MySQL, and describes its benefits along with possible use cases.","postgresql vs mysql, what is postgresql?, difference between mysql and postgresql, postgres use cases","false","2022-01-07",""
"https://www.linode.com/docs/guides/configure-postgresql","Configure PostgreSQL","This guide will show you how to tune PostgreSQL for better performance on your Linode","postgresql, clusters, databases, postgres, database configuration, database tuning, configure postgres","false","2017-12-07",""
"https://www.linode.com/docs/guides/ubuntu-8-04-hardy","Use PostgreSQL Relational Databases on Ubuntu 8.04 (Hardy)","Using the PostgreSQL relational database server with Ubuntu 8.04 (Hardy).","","true","2009-09-13","2011-04-29"
"https://www.linode.com/docs/guides/how-to-install-postgresql-on-ubuntu-16-04","Installing PostgreSQL on Ubuntu 16.04","A tutorial on installing and configuring the PostgreSQL relational database system on Ubuntu distributions using Ubuntu 16.04 as an example.","","true","2016-05-20","2020-03-30"
"https://www.linode.com/docs/guides/ubuntu-9-10-karmic","Use PostgreSQL Relational Databases on Ubuntu 9.10 (Karmic)","Using the PostgreSQL relational database server with Ubuntu 9.10 (Karmic).","","true","2009-10-29","2011-04-29"
"https://www.linode.com/docs/guides/how-to-install-postgresql-relational-databases-on-centos-7","How to Install PostgreSQL Relational Databases on CentOS 7","The PostgreSQL relational database is a powerful open source database platform. Learn how to install it on CentOS 7 in this simple tutorial.","","false","2016-12-12",""
"https://www.linode.com/docs/guides/deploy-surrealdb-cluster","Deploying a SurrealDB Cluster on Kubernetes","SurrealDB has been designed with distributed infrastructure in mind. With high-performance and scalable architecture, SurrealDB fits well on a Kubernetes cluster setup. In this tutorial, learn how to deploy your own SurrealDB instance with Docker and Kubernetes.","surrealdb docker, surrealdb cluster, surrealdb kubernetes","false","2024-05-01",""
"https://www.linode.com/docs/guides/managing-security-and-access-for-surrealdb","Managing Security and Access Control for SurrealDB","Before moving to production, you need to secure your SurrealDB. Fortunately, SurrealDB features robust access control configurations and API. See how to lock-down your SurrealDB server and set up user access in this tutorial.","surrealdb tutorial, surrealdb client, surrealdb authentication","false","2024-05-01",""
"https://www.linode.com/docs/guides/surrealdb-for-web-applications","`Example App for SurrealDB`,","`An example serverles web application to demonstrate SurrealDB.`,","surrealdb tutorial, surrealdb deployment, surrealdb examples","false","2024-05-01",""
"https://www.linode.com/docs/guides/surrealdb-interdocument-modeling","Modeling Data with SurrealDB’s Inter-document Relations","Instructs the first phase of college-level algebra.,","surrealdb tutorial, surrealdb examples, surrealdb client","false","2024-05-01",""
"https://www.linode.com/docs/guides/getting-started-with-surrealdb","Third Post","SurrealDB brings new features to the relational database model, with an emphasis on supporting serverless applications and distributed infrastructures. Learn about SurrealDB and how to get started using it in this tutorial.","surrealdb examples, surrealdb performance, surrealdb authentication","false","2024-05-01",""
"https://www.linode.com/docs/guides/sql-commands","Introduction to SQL Commands","SQL commands can be used across relational database systems like MySQL and PostgreSQL. Learn the fundamental SQL commands used to insert and modify data in a SQL table.","create table, alter table, drop table, ddl commands","false","2022-03-04",""
"https://www.linode.com/docs/guides/sql-joins","Introduction to SQL Joins","SQL Joins are used to compare and select rows from tables. This guide discusses Cross Joins, Inner Joins, Left Joins, Right Joins, and Full Joins and provides examples for each SQL Join.","SQL Joins, Cross Joins, Left Join, Right Join, Full Join","false","2022-03-11",""
"https://www.linode.com/docs/guides/sql-data-types","Introduction to SQL Data Types","SQL supports various data types including Binary, Numeric, and Character data types. This guide explains each data types storage requirements, syntax, and provides examples.","binary data type, numeric data type, character data type, date time data type","false","2022-03-11",""
"https://www.linode.com/docs/guides/sharded-database","Database Sharding: Concepts, Examples, and Strategies","Database sharding divides data into smaller chunks and distributes it across different database nodes. Learn more about sharding practices and strategies.","sharded database, db sharding, sharding strategy, database sharding examples","false","2022-05-26","2024-11-14"
"https://www.linode.com/docs/guides/sql-indexes","An Introduction to SQL Indexes","SQL indexes are used to improve a databases performance during query lookups. This guide discusses unique indexes, primary keys, and composite primary keys.","database index, non-unique indexes, database performance","false","2022-03-25",""
"https://www.linode.com/docs/guides/sql-grouping-and-totaling","Introduction to SQL Grouping and Totaling","SQL aggregate functions calculate a set of values by using grouping and totaling. This guide uses various examples to demonstrate how to calculate values using the Where and Having clauses.","aggregate functions, group functions, where clause, having clause","false","2022-03-18",""
"https://www.linode.com/docs/guides/sql-server-security-part-2","Part 2: SQL Server Security Best Practices","Learn about the SQL Server security best practices and guidelines to keep your server and data safe. For example, selecting a SQL Server authentication mode.","SQL server authentication, Restrict SQL traffic, SQL Server Patches, Backups, Auditing","false","2022-08-12",""
"https://www.linode.com/docs/guides/sql-server-security","Part 1: SQL Server Security Best Practices","Learn about the SQL Server security best practices and guidelines to keep your server and data safe. For example, disable unused ports and SQL Server features.","sql server security","false","2022-05-27",""
"https://www.linode.com/docs/guides/sql-triggers-sql-server-overview","SQL Triggers in SQL Server: An Overview","This guide explains SQL trigger statements, special database objects, and how to enforce referential integrity for primary/foreign key relationships with them.","","false","2023-01-17",""
"https://www.linode.com/docs/guides/sql-security","SQL Database Security: User Management","SQL database security relies on user management, permissions, groups, and roles. This guide discusses each of these aspects of SQL database security with examples.","groups, roles, permissions, grant permission, revoke permission","false","2022-05-20",""
"https://www.linode.com/docs/guides/use-couchdb-for-document-based-data-storage-on-debian-5-lenny","Use CouchDB for Document Based Data Storage on Debian 5 (Lenny)","An introduction and getting started guide for CouchDB on Debian 5 (Lenny) systems.","","true","2010-02-08","2012-10-03"
"https://www.linode.com/docs/guides/use-couchdb-for-document-based-data-storage-on-ubuntu-9-10-karmic","Use CouchDB for Document Based Data Storage on Ubuntu 9.10 (Karmic)","An introduction and getting started guide for CouchDB on Ubuntu 9.10 (Karmic) systems.","","true","2010-02-18","2011-04-29"
"https://www.linode.com/docs/guides/install-couchdb-20-on-ubuntu","Installing CouchDB 2.0 on Ubuntu 20.04","This guide will show you how to install the noteworthy NoSQL database utility known for its scalability and fault tolerance, CouchDB 2.0 on Ubuntu 20.04.","couchdb, nosql, database, deploy on ubuntu 20.04","false","2021-05-21",""
"https://www.linode.com/docs/guides/use-couchdb-for-document-based-data-storage-on-ubuntu-10-10-maverick","Use CouchDB for Document Based Data Storage on Ubuntu 10.10 (Maverick)","An introduction and getting started guide for CouchDB on Ubuntu 10.10 (Maverick) systems.","","true","2010-12-06","2012-10-08"
"https://www.linode.com/docs/guides/use-couchdb-for-document-based-data-storage-on-centos-5","Use CouchDB for Document Based Data Storage on CentOS 5","An introduction and getting started guide for CouchDB on CentOS 5 systems.","","true","2010-02-18","2011-04-29"
"https://www.linode.com/docs/guides/access-futon-over-ssh-using-putty-on-windows","Access Futon Over SSH to Administer CouchDB","This tutorial will teach you how to access your CouchDB database remotely by creating an SSH tunnel with PuTTY.","futon, couchdb, apache, ssh, putty, windows, os x, osx","false","2010-02-04","2017-07-19"
"https://www.linode.com/docs/guides/use-couchdb-for-document-based-data-storage-on-ubuntu-12-04","Use CouchDB for Document-Based Data Storage on Ubuntu 12.04","CouchDB is a non-relational document based database, also referred to as a NoSQL database. This guide instructs you on installing it on Ubuntu 12.04 'Precise Pangolin'.","","true","2012-10-09",""
"https://www.linode.com/docs/guides/use-couchdb-2-0-on-ubuntu-20-04","Using CouchDB 2.0 on Ubuntu 20.04","Learn the basic concepts of CouchDB 2.0, along with how to use it on Ubuntu.","couchdb, nosql, fauxton, database, ubuntu 20.04","false","2021-05-21",""
"https://www.linode.com/docs/guides/use-couchdb-for-document-based-data-storage-on-fedora-13","Use CouchDB for Document Based Data Storage on Fedora 13","An introduction and getting started guide for CouchDB on Fedora 13 systems.","","true","2010-05-27","2011-04-29"
"https://www.linode.com/docs/guides/use-couchdb-for-document-based-data-storage-on-fedora-14","Use CouchDB for Document Based Data Storage on Fedora 14","An introduction and getting started guide for CouchDB on Fedora 14 systems.","","true","2010-12-06","2013-09-24"
"https://www.linode.com/docs/guides/use-couchdb-for-document-based-data-storage-on-debian-6-squeeze","Use CouchDB for Document Based Data Storage on Debian 6","An introduction and getting started guide for CouchDB on Debian 6 (Squeeze) systems.","","true","2011-02-23","2011-04-29"
"https://www.linode.com/docs/guides/use-couchdb-for-document-based-data-storage-on-ubuntu-10-04-lucid","Use CouchDB for Document Based Data Storage on Ubuntu 10.04 (Lucid)","An introduction and getting started guide for CouchDB on Ubuntu 10.04 (Lucid) systems.","","true","2010-05-03","2013-09-24"
"https://www.linode.com/docs/guides/how-to-set-up-mariadb-galera-clusters-on-ubuntu-2204","How to Set up MariaDB Galera Clusters on Ubuntu 22.04","This guide explains how to install and configure MariaDB clusters on Ubuntu 22.04 LTS using Galera.","","false","2023-03-22","2024-05-09"
"https://www.linode.com/docs/guides/backup-mariadb-mysql-to-object-storage-with-restic","Backup MariaDB or MySQL Databases to Linode Object Storage with Restic","Restic is a backup utility written in Go. This guide shows how to configure Restic to backup your MariaDB (or MySQL) databases onto Linode Object Storage.","mariadb, mysql, backup, backups, restic, off-site backups, Object Storage","false","2020-12-03",""
"https://www.linode.com/docs/guides/how-to-install-mariadb-on-centos-8","Installing MariaDB on CentOS 8","This guide shows how to install and configure the MariaDB server on CentOS 8.","","false","2020-02-04",""
"https://www.linode.com/docs/guides/how-to-install-mariadb-on-centos-7","Installing MariaDB on CentOS 7","This article gives you step-by-step instructions for installing MariaDB, a fork of the popular cross-platform MySQL database management system, on CentOS 7.","","false","2015-08-21",""
"https://www.linode.com/docs/guides/how-to-install-mariadb-on-debian-10","Installing MariaDB on Debian 10","Want to replace MySQL? Read through this guide, which explains how to install MariaDB on Debian 10.","","false","2020-01-31","2024-05-16"
"https://www.linode.com/docs/guides/how-to-install-mariadb-on-ubuntu-18-04","Installing MariaDB on Ubuntu 18.04","MariaDB is a scalable, reliable SQL Server that can serve as a drop-in replacement for MySQL. Here's how to install and configure it on Ubuntu 18.04 LTS.","","false","2020-01-31",""
"https://www.linode.com/docs/guides/set-up-mariadb-clusters-with-galera-debian-and-ubuntu","Set Up MariaDB Galera Clusters on Debian and Ubuntu","A guide to configuring MariaDB database replication with Galera on Debian and Ubuntu distributions.","","true","2015-02-18","2017-11-27"
"https://www.linode.com/docs/guides/configure-wordpress-remote-database","Configure WordPress to use a Remote Database","This guide shows how to configure WordPress to access a database on a separate Linode.","mariadb, database, mysql, remote database, remote db, remote client","false","2018-06-25","2018-12-11"
"https://www.linode.com/docs/guides/how-to-install-mariadb-on-debian-9","Installing MariaDB on Debian 9","This guide shows how to install and configure the MariaDB server on Debian 9.","","true","2020-01-31",""
"https://www.linode.com/docs/guides/mariadb-setup-debian","How to Set Up MariaDB on Debian 9","This guide shows how to install and configure the MariaDB database server on Debian 9.","mariadb, debian 9, debian, database, mysql","true","2014-06-12","2017-11-22"
"https://www.linode.com/docs/guides/redis-server-cli","Configure a Redis Server from the Command Line","Redis provides a powerful command-line tool to view and update its configuration options. Learn how to use the Redis CLI set, get, and write commands to update your configurations.","redis configuration, redis command line, change redis settings","false","2022-02-25",""
"https://www.linode.com/docs/guides/redis-getting-started","Connect to Redis and Use The Redis Database","Learn how to start using Redis databases, connecting to a Redis server and working with data on it.","connecting to redis server, how to create redis database, getting started with redis","false","2022-01-14",""
"https://www.linode.com/docs/guides/redis-on-centos-5","Redis on CentOS 5","This guide shows how to deploy applications that depend on the high performance and highly flexible key-value store Redis database on CentOS 5.","","true","2010-08-05","2013-07-07"
"https://www.linode.com/docs/guides/redis-on-debian-5-lenny","Redis on Debian 5 (Lenny)","This guide shows how to deploy applications that depend on the high performance and highly flexible key-value store Redis database on Debian 5 'Lenny'.","","true","2010-07-27","2012-10-08"
"https://www.linode.com/docs/guides/using-redis-scan-commands","Using the Scan Commands in Redis","Looking to more efficiently fetch keys from your Redis database, especially when you have large amounts of data? Follow along in this guide to learn how to use Redis’s SCAN commands. These commands incrementally iterate over keys, preventing server blockages for large data sets and providing several features to improve the process of fetching keys.","how to use redis scan, redis scan command, redis scan keys","false","2023-03-14",""
"https://www.linode.com/docs/guides/redis-client-side-caching","Use Redis for Client-Side Caching","Modern web applications rely on client-side caching to enhance its performance. This guide shows you how to use Redis for server-assisted client-side caching.","redis caching tutorial, redis server assisted client-side caching, how redis caching works","false","2022-04-08",""
"https://www.linode.com/docs/guides/redis-on-fedora-14","Redis on Fedora 14","This guide shows how to deploy applications that depend on the high performance and highly flexible key-value store Redis database on Fedora 14.","","true","2010-12-06","2013-09-24"
"https://www.linode.com/docs/guides/redis-on-fedora-13","Redis on Fedora 13","This guide shows how to deploy applications that depend on the high performance and highly flexible key-value store Redis database on Fedora 13.","","true","2010-08-05","2011-04-29"
"https://www.linode.com/docs/guides/redis-on-ubuntu-10-04-lucid","Redis on Ubuntu 10.04 (Lucid)","This guide shows how to deploy applications that depend on the high performance and highly flexible key-value store Redis database on Ubuntu 10.04 'Lucid'.","","true","2010-07-28","2013-09-24"
"https://www.linode.com/docs/guides/redis-transaction-blocks","Use Redis Transaction Blocks","Redis transaction blocks group commands and execute them sequential, as a unit. This guide teaches you how to create, execute, and cancel Redis transaction blocks.","redis transactions, redis multi vs pipeline, redis multi exec","false","2022-04-15",""
"https://www.linode.com/docs/guides/redis-on-ubuntu-10-10-maverick","Redis on Ubuntu 10.10 (Maverick)","This guide shows how to deploy applications that depend on the high performance and highly flexible key-value store Redis database on Ubuntu 10.10 'Maverick'.","","true","2010-10-28","2012-10-08"
"https://www.linode.com/docs/guides/using-lists-and-sets-in-redis-database","Use Lists and Sets in Redis Database","Redis is a NoSQL database that is known for it support of various data types. This guide shows you how to use Lists and Sets for managing data in your Redis databases.","redis lists tutorial, redis lists vs sets, redis sets example","false","2022-01-21",""
"https://www.linode.com/docs/guides/install-redis-ubuntu","Install and Configure Redis on Ubuntu 20.04","This guide shows you how to install and configure the open-source database, cache, and message broker application Redis, on Ubuntu 20.04 Server.","","false","2021-07-02",""
"https://www.linode.com/docs/guides/redis-on-debian-6-squeeze","Redis on Debian 6 (Squeeze)","This guide shows how to deploy applications that depend on the high performance and highly flexible key-value store Redis database on Debian 6 'Squeeze'.","","true","2011-04-05","2013-07-07"
"https://www.linode.com/docs/guides/lua-scripting-for-redis","Writing Lua Scripts for a Redis Server","In this tutorial learn how to start writing and using Lua scripts to improve your Redis database experience.","redis lua scripts, redis lua script tutorial, redis lua examples","false","2023-03-14",""
"https://www.linode.com/docs/guides/redis-on-ubuntu-9-10-karmic","Redis on Ubuntu 9.10 (Karmic)","This guide shows how to deploy applications that depend on the high performance and highly flexible key-value store Redis database on Ubuntu 9.10 'Karmic'.","","true","2010-08-05","2011-04-29"
"https://www.linode.com/docs/guides/using-sorted-sets-in-redis-database","Use Sorted Sets in Redis Databases","Learn how to use Sorted Sets in your Redis databases, a powerful additional data type for ordered values. You also learn common commands needed to manage Sorted Sets.","redis sorted set example, redis sorted set commands, how do redis sorted sets work","false","2022-01-21",""
"https://www.linode.com/docs/guides/install-and-configure-redis-on-centos-7","Install and Configure Redis on CentOS 7","A step-by-step guide to install and configure a Redis server and set up distributed data stores using master/slave replication on CentOS 7.","","false","2016-04-20","2017-02-20"
"https://www.linode.com/docs/guides/hashes-in-redis-databases","Use Hashes in Redis Databases","Redis Hashes are maps of field and value pairs. In this guide, you learn how to use Redis hashes, maps of fields, and values frequently used for storing objects.","redis hashes example, accessing redis hashes, get redis hashes all key","false","2022-03-04",""
"https://www.linode.com/docs/guides/how-to-install-a-redis-server-on-ubuntu-or-debian8","How to Install a Redis Server on Ubuntu or Debian 8","This guide will show you how to deploy the high performance Redis data-structure store application on Ubuntu 14.04 LTS, Ubuntu 16.04 LTS, or Debian 8.","","true","2016-04-20","2017-09-13"
"https://www.linode.com/docs/guides/redis-on-ubuntu-12-04-precise-pangolin","Redis on Ubuntu 12.04 (Precise Pangolin)","This guide shows how to deploy applications that depend on the high performance and highly flexible key-value store Redis database on Ubuntu 12.04 'Precise Pangolin'.","","true","2012-10-25",""
"https://www.linode.com/docs/guides/relational-database-overview","Introduction to Relational Databases and RDBMSs","An overview of relational databases, including relational database management systems and how they different from NoSQL databases.","what is mysql, sql vs mysql, mysql overview","false","2022-06-06",""
"https://www.linode.com/docs/guides/how-to-install-and-use-replibyte","How to Install and Use Replibyte to Assist with Database Development","This guide explains how to use Replibyte to seed a database with transformed production data.","use Replibyte, install Replibyte, Replibyte Linux, transform database Replibyte","false","2023-02-24","2024-05-02"
"https://www.linode.com/docs/guides/list-of-databases","Comparing DBMSs: The 8 Most Popular Databases","Searching for a list of the most popular databases? Our article covers what to look for in a database and top options for data storage.","database, database lists, best database","false","2022-02-25",""
"https://www.linode.com/docs/guides/what-is-nosql","What is NoSQL?","An explanation of what NoSQL is, the differences with SQL, what some of the popular types are, and links to examples of popular NoSQL databases.","nosql, database, nosql database, non-sql, non-sql database","false","2021-09-09",""
"https://www.linode.com/docs/guides/what-is-olap","What Is OLAP?","This guide describes what an OLAP server does and how it works within the context of a data warehouse.","OLAP, OLAP and Data Warehouse, Types of OLAP Servers, OLAP operations","false","2023-05-15","2024-05-09"
"https://www.linode.com/docs/guides/database-solutions","Determine the Best Database and Cloud Hosting Solution for Your Next Application","Learn about the most popular database management systems and how to host them on the Akamai cloud computing platform.","DBMS, managed database","false","2023-07-11","2024-11-14"
"https://www.linode.com/docs/guides/what-is-a-data-warehouse","What Is a Data Warehouse?","This guide explains what data warehousing is and what it is used for. It also provides some guidance on how to design a data warehouse.","data warehouse, what is a data warehouse, advantages of a data warehouse, design data warehouse","false","2023-05-09","2024-05-09"
"https://www.linode.com/docs/guides/oracle-10g-express-edition-on-ubuntu-9-10-karmic","Oracle 10g Express Edition on Ubuntu 9.10 (Karmic)","Install Oracle 10g to power server-side applications and web apps on Ubuntu 9.10 (Karmic).","","true","2010-05-09","2014-08-13"
"https://www.linode.com/docs/guides/oracle-10g-express-edition-on-debian-5-lenny","Oracle 10g Express Edition on Debian 5 (Lenny)","Install Oracle 10g to power server-side applications and web apps on Debian 5 (Lenny).","","true","2010-01-28","2014-08-13"
"https://www.linode.com/docs/guides/oracle-10g-express-edition-on-ubuntu-10-04-lts-lucid","Oracle 10g Express Edition on Ubuntu 10.04 LTS (Lucid)","Install Oracle 10g to power server-side applications and web apps on Ubuntu 10.04 LTS (Lucid).","","true","2010-05-05","2014-08-13"
"https://www.linode.com/docs/guides/oracle-10g-express-edition-on-debian-6-squeeze","Oracle 10g Express Edition on Debian 6 (Squeeze)","Install Oracle 10g to power server-side applications and web apps on Debian 6 (Squeeze).","","true","2011-02-23","2014-08-13"
"https://www.linode.com/docs/guides/oracle-10g-express-edition-on-ubuntu-10-10-maverick","Oracle 10g Express Edition on Ubuntu 10.10 (Maverick)","Install Oracle 10g to power server-side applications and web apps on Ubuntu 10.10 (Maverick).","","true","2011-04-05","2014-08-13"
"https://www.linode.com/docs/guides/securely-administer-oracle-xe-with-an-ssh-tunnel","Securely Administer Oracle XE with an SSH Tunnel","This guide provides you with information on accessing Oracle XE (Express Edition) databases remotely using an SSH tunnel and client application such as PuTTY.","Oracle tunnel, Oracle over SSH, SSH tunnel","true","2010-01-28","2011-05-17"
"https://www.linode.com/docs/guides/what-is-sqlite","What is SQLite?","This guide discusses the advantages and disadvantages of SQLite, one of the most popular of the serverless SQL databases, and also common use cases for SQLite.","what is sqlite","false","2021-04-09",""
"https://www.linode.com/docs/guides/getting-started-with-nodejs-sqlite","Getting Started with Node.js SQLite","With npm and sqlite3, you can make your Node.js applications shine. This guide explains how you can install Node.js SQLite, create a SQLite database, create tables, and insert data.","nodejs sqlite","false","2021-05-21","2022-01-14"
"https://www.linode.com/docs/guides/use-mongodb-to-store-application-data-on-debian-5-lenny","Use MongoDB to Store Application Data on Debian 5","Install MongoDB for use in application development on Debian 5 (Lenny).","","true","2010-02-03","2011-04-29"
"https://www.linode.com/docs/guides/install-mongodb-on-centos-7","Installing MongoDB on CentOS 7","This guide shows how to install MongoDB, a document-oriented NoSQL database solution, on a server running CentOS 7.","","false","2016-12-30",""
"https://www.linode.com/docs/guides/mongodb-introduction","What Is MongoDB and Why Use It?","This article introduces MongoDB, explains how it differs from other SQL databases, and provides some use cases.","what is mongodb, mongodb vs sql, is mongodb a relational database, nosql","false","2022-01-14",""
"https://www.linode.com/docs/guides/install-mongodb-on-ubuntu-20-04","Installing MongoDB on Ubuntu 20.04","This guide explains how to install MongoDB on Ubuntu 20.04","","false","2023-01-12",""
"https://www.linode.com/docs/guides/use-mongodb-to-store-application-data-on-ubuntu-9-10-karmic","Use MongoDB to Store Application Data on Ubuntu 9.10 (Karmic)","Install MongoDB for use in application development on Ubuntu 9.10 (Karmic).","","true","2010-03-24","2011-04-29"
"https://www.linode.com/docs/guides/use-mongodb-to-store-application-data-on-ubuntu-12-04-precise","Use MongoDB to Store Application Data on Ubuntu 12.04","Install MongoDB for use in application development on Ubuntu 12.04 (Precise).","","true","2012-10-08",""
"https://www.linode.com/docs/guides/mongodb-example-shortguide","MongoDB Example","Shortguide that displays usage example for MongoDB.","","false","2020-03-11",""
"https://www.linode.com/docs/guides/use-mongodb-to-store-application-data-on-ubuntu-10-10-maverick","Use MongoDB to Store Application Data on Ubuntu 10.10 (Maverick)","Install MongoDB for use in application development on Ubuntu 10.10 (Maverick)","","true","2010-10-12","2012-10-03"
"https://www.linode.com/docs/guides/creating-a-mongodb-replication-set-on-debian-7-wheezy","Creating a MongoDB Replication Set on Debian 7 (Wheezy)","This guide provides you with step-by-step instructions for creating and configuring a MongoDB ReplSet (replication set) for redundancy on Debian.","","true","2014-04-09",""
"https://www.linode.com/docs/guides/creating-a-mongodb-replication-set-on-centos-6-4","Creating a MongoDB Replication Set on CentOS 6.4","This guide will show you how to configure a MongoDB ReplSet on CentOS 6.4.","","true","2014-04-09",""
"https://www.linode.com/docs/guides/navigate-mongodb-databases","Navigate MongoDB and Query Your Data","Learn how to navigate your MongoDB database. From examples of the various query operators through text searches and indexing, this tutorial has you covered.","mongodb query examples, mongodb filter query, mongodb text search","false","2023-02-28",""
"https://www.linode.com/docs/guides/indexing-mongodb","How to Use Indexes in MongoDB","Learn what MongoDB indexes are, how to create and modify them to improve your database query performance.","mongodb indexing best practices, mongodb indexing tutorial, mongodb indexing explained","false","2023-02-28",""
"https://www.linode.com/docs/guides/use-mongodb-to-store-application-data-on-centos-5","Use MongoDB to Store Application Data on CentOS 5","MongoDB is a database engine that provides access to non-relational key-value databases. This guide provides you instructions for installing it on CentOS 5.","","true","2010-03-24","2011-04-29"
"https://www.linode.com/docs/guides/create-a-mongodb-replica-set","Creating a MongoDB Replica Set","This guide will show you how to configure a MongoDB replicat set on Ubuntu 16.04 and CentOS 7.","mongodb, nosql, clusters, replica set","false","2016-12-02",""
